ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,UNIDAD_VIGENCIA_BOLSA,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,RED_DESTINO,TIPO_PAGO,DESTINO_LLAMADA,NOMBRE_TARIFA_PLAN,ORIGEN_LLAMADA,PRECIO_MENSUAL,SERVICIO_TP,DENOMINACION_TECNOLOGIA,OTROS_BENEFICIOS
5777,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,20 segundos,,,,,,Fijo Local,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,0.6,LOCAL,OTROS,
4724,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,RURAL,0.6,LOCAL,OTROS,
7826,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,DURACIÃN LIMITADA,,,,,,fijo,,CIUDAD,LOCUTORIOS,DEPARTAMENTO,0.5,LOCAL,OTROS,
5787,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,cuba,TELEFONIA PUBLICA,SANTA CRUZ,8.1,LDI,OTROS,
10726,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 3 segundos,,,,,,"Fijo Local, Movil o TP",,"Telefono Fijo, Movil o Telefono Publico",TP RURAL A FIJO O TP,Telefono publico Rural,2,LOCAL,OTROS,
7000,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.2 Bs.Cada 1 Segs.,,,,,,Movil,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
5995,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,RURAL,1.5,LOCAL,OTROS,
7828,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,DURACIÃN LIMITADA,,,,,,MÃVIL LOCAL,,CIUDAD,LOCUTORIOS,DEPARTAMENTO,1.15,LOCAL,OTROS,
7004,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 6 Segs.,,,,,,Fijo,,Europa,TELECENTROS,Cochabamba,1,LDI,OTROS,
10725,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,cada 10 Segundos,,,,,,Movil,,Telefono Movil,TP LOCAL A MOVIL,TELEFONO PUBLICO CIUDAD CAPITAL,1.8,LOCAL,OTROS,
5786,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,"chile, peru, venezuela, italia",TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
4737,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,EUROPA,,EUROPA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
7012,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.2 Bs.Cada 1 Segs.,,,,,,Movil,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
6990,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,SudamÃ©rica,TELECENTROS,Cochabamba,2,LDI,OTROS,
5994,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,RURAL,2,LDN,OTROS,
4727,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,2,LDN,OTROS,
5662,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 3 SEG,,,,,,MÃVIL,,PerÃº,RURAL VSAT,NACIONAL RURAL,4,LDI,OTROS,
4726,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,2,LDN,OTROS,
5779,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,bolivia,TELEFONIA PUBLICA,SANTA CRUZ,1.84,LDN,OTROS,
7010,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,Europa,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
5660,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 3 SEG,,,,,,MÃVIL,,Otros Destinos Internacionales Celular,RURAL VSAT,NACIONAL RURAL,4,LDI,OTROS,
4723,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,RURAL,1.2,LOCAL,OTROS,
7007,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 6 Segs.,,,,,,Movil,,NorteamÃ©rica,TELECENTROS,Cochabamba,1,LDI,OTROS,
7825,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,MONEDERO,DURACIÃN LIMITADA,,,,,,FIJO,,CIUDAD,MONEDEROS,DEPARTAMENTO,0.5,LOCAL,OTROS,
5773,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,Fijo Local,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,0.6,LOCAL,OTROS,
5664,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 4 SEG,,,,,,MÃVIL,,"Argentina, Austria, BÃ©lgica, Chile, Italia, Reino Unido, Uruguay",RURAL VSAT,NACIONAL RURAL,3,LDI,OTROS,
6976,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Fijo,,NorteamÃ©rica,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
4720,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,1.2,LOCAL,OTROS,
5789,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,"sud america, centro amercia, norte america, europa, africa, asia, oceania, chile, peru, venezuela, italia, ",TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
5648,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,A fijos en la Zona 3 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 3,1.2,LDN,OTROS,
4713,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,0.6,LOCAL,OTROS,
5783,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,sud america,TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
7011,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.5 Bs.Cada 9 Segs.,,,,,,Movil,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,3.5,LDI,OTROS,
5793,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,3 segundos,,,,,,fijo,,"sud america, centro amercia, norte america, europa, africa, asia, oceania, chile, peru, venezuela, italia, brasil, espaÃ±a, japon, estados unidos, argentina",TELEFONIA PUBLICA,SANTA CRUZ,4,LDI,OTROS,
5652,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,"A mÃ³viles en Bolivia, excepto en la misma zona de numeraciÃ³n del telÃ©fono que origina la llamada.",LDN  PUNTO VIVA ,DESDE PUNTO VIVA A NIVEL NACIONAL,1.2,LDN,OTROS,
5796,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,3 segundos,,,,,,movil,,"sud america, centro america, norte america, europa, africa, asia, oceania, brasil, chile, peru, argentina, estados unidos, espaÃ±a, japon",TELEFONIA PUBLICA,SANTA CRUZ,4,LDI,OTROS,
10729,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,cada 10 Segundos,,,,,,VOIP,,VOIP,TP A VOIP,Telefono publico,1.8,LDN,OTROS,
7002,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 4 Segs.,,,,,,Fijo,,SudamÃ©rica,TELECENTROS,Cochabamba,1.5,LDI,OTROS,
6968,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Monederos,0.5 Bs Cada 30 Segs.,,,,,,VoIP,,Bolivia,MONEDEROS,Cochabamba,1,LOCAL,OTROS,
10724,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,Telefono publico o Sitios AXS,cada 10 Segundos,,,,,,Fijo Local o TP,,Telefono Fijo o Telefono Publico,TP LOCAL A FIJO O TP,Telefono publico ciudad capital,0.6,LOCAL,OTROS,
7008,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,SudamÃ©rica,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
4734,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,SUD AMERICA,,SUD AMERICA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,3.8,LDI,OTROS,
5997,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,1.2,LOCAL,OTROS,
5649,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 10 SEG,,,,,,FIJO,,A fijos en la Zona 4 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 4,0.6,LDN,OTROS,
6974,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,Bolivia,TELECENTROS,Cochabamba,2,LDN,OTROS,
6980,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 6 Segs.,,,,,,Fijo,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,5,LDI,OTROS,
5646,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,20 cada 5 seg",,,,,,Fijo/MÃ³vil,,RESTO DEL MUNDO,LDI  PUNTO VIVA ,Punto VIVA en territorio nacional,4,LDI,OTROS,
4732,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,RURAL,2,LDN,OTROS,
6984,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Movil,,SudamÃ©rica,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
5797,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,1 segundo,,,,,,movil,,"vanuatu, corea del norte, ascension, islas malvinas, groelandia, guinea bissau, cuba",TELEFONIA PUBLICA,SANTA CRUZ,12,LDI,OTROS,
5774,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,1.5,LOCAL,OTROS,
5663,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 3 SEG,,,,,,FIJO,,Otros Destinos Internacionales Fijos,RURAL VSAT,NACIONAL RURAL,2,LDI,OTROS,
5650,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 4 SEG,,,,,,FIJO,,A fijos en Bolivia excepto en la misma zona de numeraciÃ³n del telÃ©fono que origina la llamada.,LDN  PUNTO VIVA ,DESDE PUNTO VIVA A NIVEL NACIONAL,1.5,LDN,OTROS,
6981,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.2 Bs.Cada 1 Segs.,,,,,,Fijo,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
6988,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.2 Bs.Cada 1 Segs.,,,,,,Movil,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
7005,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,2,LDI,OTROS,
6992,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,Europa,TELECENTROS,Cochabamba,2,LDI,OTROS,
4317,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,A mÃ³viles en la Zona 4 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 4,1.2,LDN,OTROS,
6991,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Fijo,,CentroamÃ©rica ,TELECENTROS,Cochabamba,2,LDI,OTROS,
6969,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 5 Segs.,,,,,,Movil,,Cochabamba,TELECENTROS,Cochabamba,1.2,LOCAL,OTROS,
4731,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,RURAL,2,LDN,OTROS,
6973,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 6 Segs.,,,,,,VoIP,,Bolivia,TELECENTROS,Cochabamba,1,LOCAL,OTROS,
5998,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,AUSTRALIA,,AUSTRALIA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
7831,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,TELECENTROS Y PUNTOS SIMILARES,MINUTO,,,,,,FIJO,,"nORTE AMÃRICA, SUD AMÃRICA, cENTRO AMÃRICA, EUROPA, ASIA, AFRICA Y OCEANÃA",LARGA DISTANCIA INTERNACIONAL,DEPARTAMENTO,3.71,LDI,OTROS,
5653,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,10 cada 5 seg",,,,,,MÃVIL,,LOCAL,LLAMADA LOCAL  PUNTO VIVA ,DESDE PUNTO VIVA A NIVEL NACIONAL,1.2,LOCAL,OTROS,
6972,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 12 Segs.,,,,,,Fijo,,Cochabamba,TELECENTROS,Cochabamba,0.5,LOCAL,OTROS,
10727,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 3 segundos,,,,,,"Fijo, Movil o TP",,"Telefono Fijo, Movil o Telefono Publico",TP LOCAL A FIJO  MOVIL O TP,Telefono publico ciudad capital,2,LDN,OTROS,
5656,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 6 SEG,,,,,,Fijo/MÃ³vil,,A cualquier telÃ©fono en Bolivia,RURAL VSAT,NACIONAL,1,LDN,OTROS,
4729,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,2,LDN,OTROS,
5665,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 3 SEG,,,,,,FIJO,,"Ecuador, Uruguay",RURAL VSAT,NACIONAL RURAL,2,LDI,OTROS,
