ID_TARIFA,RAZON_SOCIAL,NOMBRE_COMERCIAL,DEPARTAMENTO,DESCRIPCION,CATEGORIA,UNIDAD_VIGENCIA_BOLSA,MINUTOS_PULSOS_UNIDAD,MINUTOS_PULSOS_MOVILES,TARIFA_NORMAL,TARIFA_REDUCIDA,TARIFA_SUPER_REDUCIDA,RED_DESTINO,TIPO_PAGO,DESTINO_LLAMADA,NOMBRE_TARIFA_PLAN,ORIGEN_LLAMADA,PRECIO_MENSUAL,SERVICIO_TP,DENOMINACION_TECNOLOGIA,OTROS_BENEFICIOS
6995,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 3 Segs.,,,,,,Movil,,NorteamÃ©rica,TELECENTROS,Cochabamba,2,LDI,OTROS,
7001,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 6 Segs.,,,,,,Fijo,,NorteamÃ©rica,TELECENTROS,Cochabamba,1,LDI,OTROS,
6966,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Monederos,0.5 Bs Cada 30 Segs.,,,,,,Movil,,Cochabamba,MONEDEROS,Cochabamba,1,LOCAL,OTROS,
5658,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 4 SEG,,,,,,FIJO,,"Brasil, Colombia, PerÃº, Venezuela",RURAL VSAT,NACIONAL RURAL,1.5,LDI,OTROS,
5651,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 5 SEG,,,,,,MÃVIL,,A mÃ³viles en la Zona 2 excluyendo destinos rurales.,LDN  PUNTO VIVA ,"Desde âPunto VIVAâ de la Zona 2: La Paz, Caranavi, Copacabana, Patacamaya, Oruro, Challapata, Huanuni, PotosÃ­, Tupiza, VillazÃ³n, Llallagua, Uyuni y demÃ¡s poblaciones de los departamentos de La Paz, Oruro y PotosÃ­.",1.2,LDN,OTROS,
10730,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 4 segundos,,,,,,Otros,,"Sudamerica, Norteamerica o Europa",TP A SUDAMERICA  NORTEAMERICA O EUROPA,Telefono publico,4.5,LDI,OTROS,
10731,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 12 segundos,,,,,,Otros,,"Centroamerica, Africa, Asia o Australia",TP A CENTROAMERICA  AFRICA  ASIA O AUSTRALIA,Telefono publico,5.5,LDI,OTROS,
10728,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 3 segundos,,,,,,"Fijo, Movil o TP",,"Telefono Fijo, Movil o Telefono Publico",TP RURAL A FIJO  MOVIL O TP,Telefono publico Rural,2,LDN,OTROS,
5781,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,6 segundos,,,,,,fijo,,bolivia,TELEFONIA PUBLICA,SANTA CRUZ,2,LDN,OTROS,
4728,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,2,LDN,OTROS,
6978,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Fijo,,CentroamÃ©rica ,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
4306,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 10 SEG,,,,,,FIJO,,A fijos en la Zona 2 excluyendo destinos rurales.,LDN  PUNTO VIVA ,"Desde âPunto VIVAâ de la Zona 2: La Paz, Caranavi, Copacabana, Patacamaya, Oruro, Challapata, Huanuni, PotosÃ­, Tupiza, VillazÃ³n, Llallagua, Uyuni y demÃ¡s poblaciones de los departamentos de La Paz, Oruro y PotosÃ­.",0.6,LDN,OTROS,
5647,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA ,"Bs 0,30 cada 5 seg",,,,,,Fijo/MÃ³vil,,NORTE Y SUDAMÃRICA,LDI  PUNTO VIVA  ,Punto VIVA en territorio nacional,3.6,LDI,OTROS,
6983,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Movil,,NorteamÃ©rica,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
6970,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 10 Segs.,,,,,,Rural,,Rural Domiciliario - Cochabamba,TELECENTROS,Cochabamba,0.6,LOCAL,OTROS,
4314,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 10 SEG,,,,,,FIJO,,A fijos en la Zona 3 excluyendo destinos rurales.,LDN  PUNTO VIVA ,Desde âPunto VIVAâ de la Zona 3,0.6,LDN,OTROS,
5791,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,cuba,TELEFONIA PUBLICA,SANTA CRUZ,8.1,LDI,OTROS,
6985,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Movil,,CentroamÃ©rica ,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
6986,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 6 Segs.,,,,,,Movil,,Europa,TELECENTROS,Cochabamba,5,LDI,OTROS,
5790,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,"brasil, argentina, estados unidos, espaÃ±a, japon",TELEFONIA PUBLICA,SANTA CRUZ,3.5,LDI,OTROS,
4721,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,0.60,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,0.6,LOCAL,OTROS,
6989,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs Cada 3 Segs.,,,,,,Fijo,,NorteamÃ©rica,TELECENTROS,Cochabamba,2,LDI,OTROS,
6967,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Monederos,0.5 Bs Cada 20 Segs.,,,,,,Rural,,Rural de acceso al publico - cochabambC,MONEDEROS,Cochabamba,1.5,LOCAL,OTROS,
5776,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,8 segundos,,,,,,movil,,SANTA CRUZ,TELEFONIA PUBLICA,SANTA CRUZ,1.5,LOCAL,OTROS,
6998,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,Europa,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
6977,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 8 Segs.,,,,,,Fijo,,SudamÃ©rica,TELECENTROS,Cochabamba,3.75,LDI,OTROS,
5661,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 6 SEG,,,,,,FIJO,,"Argentina, Austria, BÃ©lgica, CanadÃ¡, Chile, China, EspaÃ±a, Estados Unidos, Francia, Italia, Portugal, Puerto Rico, Reino Unido",RURAL VSAT,NACIONAL RURAL,1,LDI,OTROS,
7829,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,MINUTO,,,,,,FIJO,,CIUDADES CAPITALES Y NO CAPITALES DEL ESTADO PLURINACIONAL DE BOLIVIA,LARGA DISTANCIA NACIONAL,DEPARTAMENTO,1.35,LDN,OTROS,
5784,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,"centro america, norte america, europa, africa, asia, oceania",TELEFONIA PUBLICA,SANTA CRUZ,4.5,LDI,OTROS,
7830,COOPERATIVA DE TELECOMUNICACIONES POTOSI   LTDA ,COTAP R.L.,,,LOCUTORIO,minuto,,,,,,MÃVIL,,CIUDADES CAPITALES Y NO CAPITALES DEL ESTADO PLURINACIONAL DE BOLIVIA,LARGA DISTANCIA NACIONAL,DEPARTAMENTO,1.4,LDN,OTROS,
4725,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,2,LDN,OTROS,
6634,COOPERATIVA DE TELECOMUNICACIONES SUCRE LTDA  COTES LTDA ,COTES LTDA,,,monedero,pulso,,,,,,fijo,,sucre - yotala,MONEDERO,sucre - yotala,0.17,LOCAL,OTROS,
5999,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,AFRICA,,AFRICA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
6993,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.1 Bs.Cada 2 Segs.,,,,,,Fijo,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,3,LDI,OTROS,
5644,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,40 cada 5 seg",,,,,,Fijo/MÃ³vil,,Destinos Excepcionales Grupo 1,LDI  PUNTO VIVA ,Punto VIVA en territorio nacional,4.8,LDI,OTROS,
6994,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.2 Bs.Cada 1 Segs.,,,,,,Fijo,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
6996,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,SudamÃ©rica,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
5659,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 3 SEG,,,,,,MÃVIL,,Colombia,RURAL VSAT,NACIONAL RURAL,2,LDI,OTROS,
5654,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,10 cada 10 seg",,,,,,FIJO,,LOCAL,LLAMADA LOCAL  PUNTO VIVA ,DESDE PUNTO VIVA A NIVEL NACIONAL,0.6,LOCAL,OTROS,
10732,AXS BOLIVIA S A   EX AES ,AXS BOLIVIA,,,TELEFONO PUBLICO O SITIOS AXS,Cada 6 segundos,,,,,,Otros,,Otros Destinos,TP A DESTINOS EXCEPCIONALES,Telefono publico,17,LDI,OTROS,
6987,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 6 Segs.,,,,,,Movil,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,5,LDI,OTROS,
6979,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.5 Bs.Cada 6 Segs.,,,,,,Fijo,,Europa,TELECENTROS,Cochabamba,5,LDI,OTROS,
5788,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,"vanuatu, corea del norte, ascension, islas malvinas, groelandia, guinea bissau",TELEFONIA PUBLICA,SANTA CRUZ,12,LDI,OTROS,
5782,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,6 segundos,,,,,,movil,,bolivia,TELEFONIA PUBLICA,SANTA CRUZ,2,LDN,OTROS,
6975,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,"Telecentros, Puntos & Similares",0.1 Bs.Cada 3 Segs.,,,,,,Movil,,Bolivia,TELECENTROS,Cochabamba,2,LDN,OTROS,
5798,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,cada 2 segundos,,,,,,movil,,"venezuela, italia",TELEFONIA PUBLICA,SANTA CRUZ,6,LDI,OTROS,
7003,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.1 Bs.Cada 4 Segs.,,,,,,Fijo,,CentroamÃ©rica ,TELECENTROS,Cochabamba,1.5,LDI,OTROS,
5780,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,bolivia,TELEFONIA PUBLICA,SANTA CRUZ,1.87,LDN,OTROS,
5657,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 6 SEG,,,,,,MÃVIL,,"CanadÃ¡, Estados Unidos, China, Puerto Rico",RURAL VSAT,NACIONAL RURAL,1,LDI,OTROS,
5645,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,"Bs 0,20 cada 5 seg",,,,,,Fijo/MÃ³vil,,PAÃSES FRECUENTES,LDI  PUNTO VIVA ,Punto VIVA en territorio nacional,4,LDI,OTROS,
5792,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,movil,,"vanuatu, corea del norte, ascension, islas malvinas, groelandia, guinea bissau",TELEFONIA PUBLICA,SANTA CRUZ,12,LDI,OTROS,
4741,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RESTO,,RESTO,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
5996,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD  NO CAPITAL,,CIUDAD NO CAPITAL,TELEFONIA P  BLICA,CIUDAD CAPITAL,1.2,LOCAL,OTROS,
4719,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CIUDAD CAPITAL,,CIUDAD CAPITAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,1.5,LOCAL,OTROS,
5655,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.10 CADA 3 SEG,,,,,,FIJO,,Otros Destinos Internacionales Fijos,RURAL VSAT,NACIONAL RURAL,2,LDI,OTROS,
5666,EMPRESA DE TELECOMUNICACIONES NUEVATEL PCS DE BOLIVIA S A  NUEVATEL PCS DE BOLIVIA S A ,NUEVATEL PCS,,,PUNTO VIVA,BS 0.20 CADA 5 SEG,,,,,,MÃVIL,,"Brasil, Ecuador, EspaÃ±a, Francia, Portugal, Venezuela",RURAL VSAT,NACIONAL RURAL,2.4,LDI,OTROS,
4736,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,NORTE AMERICA,,NORTE AMERICA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,3.8,LDI,OTROS,
6999,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.5 Bs.Cada 9 Segs.,,,,,,Movil,,"Asia, Africa y OceanÃ­a",TELECENTROS,Cochabamba,3.5,LDI,OTROS,
6997,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-5,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,CentroamÃ©rica ,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
4730,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,RURAL,,RURAL,TELEFONIA P  BLICA,CIUDAD NO CAPITAL,2,LDN,OTROS,
6965,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Monederos,0.5 Bs Cada 60 Segs.,,,,,,Fijo,,Ciudad - Cochabamba,MONEDEROS,Cochabamba,0.5,LOCAL,OTROS,
4739,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,ASIA,,ASIA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
7009,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.5 Bs.Cada 12 Segs.,,,,,,Movil,,CentroamÃ©rica ,TELECENTROS,Cochabamba,2.5,LDI,OTROS,
4735,EMPRESA NACIONAL ENTEL S A ,ENTEL S.A.,,,LOCUTORIO,SEGUNDO,,,,,,CENTRO AMERICA,,CENTRO AMERICA,TELEFONIA P  BLICA,TELEFONIA PÃBLICA,5,LDI,OTROS,
5794,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,1 segundo,,,,,,fijo,,cuba,TELEFONIA PUBLICA,SANTA CRUZ,12,LDI,OTROS,
5795,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,locutorio,1 segundo,,,,,,fijo,,"vanuatu, corea del norte, ascension, islas malvinas, groelandia, guinea bissau",TELEFONIA PUBLICA,SANTA CRUZ,12,LDI,OTROS,
7006,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Telecentros Top-10,0.2 Bs.Cada 1 Segs.,,,,,,Fijo,,Cuba ,TELECENTROS,Cochabamba,12,LDI,OTROS,
6971,COOPERATIVA DE TELECOMUNICACIONES Y S CBBA COMTECO, COMTECO r.l.,,,Locutorios ,0.1 Bs Cada 4 Segs.,,,,,,Rural,,Rural de acceso al publico - Cochabamba,TELECENTROS,Cochabamba,1.5,LOCAL,OTROS,
5785,COOPERATIVA DE TELECOMUNICACIONES SANTA CRUZ,COTAS R.L.,,,Monedero,1 segundo,,,,,,fijo,,"brasil, argentina, estados unidos, espaÃ±a, japon",TELEFONIA PUBLICA,SANTA CRUZ,3.5,LDI,OTROS,
4931,COOPERATIVA DE SERVICIOS PUBLICOS DE TELECOMUNICACIONES  VILLAZON  R L   COTEVI R L ,COTEVI R.L.,,,LOCUTORIO,0,,,,,,FIJO LOCAL,,VILLAZÃN,USUARIO,VILLAZÃN,0.5,LOCAL,OTROS,
